priority,posx,posy,orix,oriy,oriz,oriw,time
0.0,0.050280049508887,0.9987351583985535,1670792500
1,1.0900655768480254,-1.8100338519327062,0.0,0.0,0.16224432887812848,0.9867506157823697,1670792514
2,0.3404551000626813,-2.135024637923546,0.0,0.0,-0.49056399231411735,0.8714051695077524,1670792530
2,0.3404550800950865,-2.135024615462031,0.0,0.0,-0.49060881588579164,0.87137993422797,1670792530
2,-0.70084098704109,-3.0627771522079,0.0,0.0,-0.3918016374942025,0.9200497143398619,1670792544
2,-0.7008413213821366,-3.062776973491282,0.0,0.0,-0.39185610331263915,0.9200265182572914,1670792545
